coddistrit,codbarrio,coddistbar,nombre,area_m2,area_km2,airbnb_total,airbnb_vivienda_completa,airbnb_habitacion_privada,precio_medio_airbnb,disponibilidad_media,resenas_media,host_listings_medio,airbnb_por_km2,vivienda_completa_por_km2,poblacion_2024,archivo,airbnb_por_1000_hab,vivienda_completa_por_1000_hab,densidad_poblacion
11,5,115,NATZARET,916438.78083955,0.91643878083955,92,71,21,432.1818181818176,231.58695652173913,39.46739130434784,10.380434782608699,100.38859324102233,77.47380565339768,6413,Distrito_11_Barrio_5.xlsx,14.345859971932013,11.071261500077966,6997.739657116046
10,6,106,LA PUNTA,6213241.077260854,6.213241077260854,41,29,12,99.08571428571429,207.92682926829266,17.609756097560968,5.487804878048781,6.59881042601925,4.6674512769404455,3441,Distrito_10_Barrio_6.xlsx,11.915140947399012,8.427782621331009,553.8172359983473
11,1,111,EL GRAU,5231981.52243779,5.23198152243779,283,220,62,185.4053030303026,203.2473498233215,28.031802120141265,13.180212014134279,54.09040509534119,42.04907816598962,9931,Distrito_11_Barrio_1.xlsx,28.496626724398347,22.152854697412145,1898.1336148474677
2,1,021,RUSSAFA,876743.8001218523,0.8767438001218523,565,440,114,138.03386454183266,170.09734513274336,57.387610619468795,19.86902654867259,644.4299918875671,501.8569848327956,25100,Distrito_02_Barrio_1.xlsx,22.50996015936255,17.52988047808765,28628.659816598112
2,3,023,LA GRAN VIA,467115.8046265851,0.4671158046265851,71,44,27,139.26153846153844,190.71830985915494,59.22535211267603,9.309859154929578,151.996569794417,94.1950573373852,12291,Distrito_02_Barrio_3.xlsx,5.776584492718249,3.579855178585957,26312.532948495485
10,1,101,MONTOLIVET,474699.4605439377,0.4746994605439377,284,220,63,105.23966942148759,179.42253521126764,47.40845070422541,16.683098591549285,598.273273103316,463.4511270518645,19845,Distrito_10_Barrio_1.xlsx,14.310909549004787,11.085915847820608,41805.39825611023
7,4,074,LA FONTSANTA,322999.2187304082,0.32299921873040816,9,3,6,57.55555555555556,172.11111111111111,60.66666666666667,2.888888888888889,27.863844486608077,9.287948162202692,3866,Distrito_07_Barrio_4.xlsx,2.3279875840662183,0.7759958613554061,11969.069198358537
8,3,083,VARA DE QUART,1034606.336223765,1.034606336223765,10,6,4,99.44444444444444,148.5,28.5,9.1,9.665512040549881,5.7993072243299295,10199,Distrito_08_Barrio_3.xlsx,0.9804882831650162,0.5882929698990097,9857.855730156825
8,1,081,PATRAIX,621303.1273618384,0.6213031273618383,123,92,31,167.53913043478278,193.52845528455285,47.98373983739836,11.16260162601626,197.9709977032942,148.07586820083793,24613,Distrito_08_Barrio_1.xlsx,4.99735911916467,3.73786210539146,39615.12330464374
7,3,073,TRES FORQUES,526794.3471971264,0.5267943471971264,27,11,16,63.23076923076923,227.07407407407408,45.29629629629629,3.555555555555555,51.2533973526041,20.881013736246114,10164,Distrito_07_Barrio_3.xlsx,2.656434474616293,1.0822510822510822,19294.056692291408
7,1,071,NOU MOLES,739498.797994945,0.739498797994945,165,93,72,142.66447368421055,172.14545454545456,28.412121212121168,4.654545454545453,223.12409492398916,125.76085350261208,27351,Distrito_07_Barrio_1.xlsx,6.032686190632884,3.400241307447625,36985.86133494562
7,2,072,SOTERNES,224341.3084951975,0.2243413084951975,26,19,7,101.1304347826087,201.92307692307693,14.192307692307693,12.115384615384617,115.8948397617846,84.69238290284258,5095,Distrito_07_Barrio_2.xlsx,5.103042198233562,3.7291462217860647,22710.93109947279
7,5,075,LA LLUM,175203.52324667113,0.17520352324667113,6,4,2,72.83333333333333,106.33333333333334,67.33333333333334,1.6666666666666667,34.24588666263594,22.830591108423956,4998,Distrito_07_Barrio_5.xlsx,1.2004801920768307,0.8003201280512205,28526.823589975735
4,4,044,SANT PAU,3898034.390276014,3.8980343902760137,30,24,6,119.57692307692307,189.93333333333334,94.96666666666664,7.8999999999999995,7.696186589537951,6.156949271630361,18679,Distrito_04_Barrio_4.xlsx,1.606081696022271,1.2848653568178168,4791.9023101993125
