coddistrit,codbarrio,coddistbar,nombre,airbnb_total,airbnb_vivienda_completa,airbnb_habitacion_privada,precio_medio_airbnb,disponibilidad_media,resenas_media,host_listings_medio
5,5,055,SANT ANTONI,45,29,16,338.33333333333337,181.22222222222223,25.733333333333324,20.66666666666666
4,1,041,CAMPANAR,42,31,11,83.41463414634146,211.54761904761904,27.928571428571416,10.5
10,6,106,LA PUNTA,41,29,12,99.08571428571429,207.92682926829266,17.609756097560968,5.487804878048781
9,4,094,SANT MARCEL.LI,41,17,24,60.736842105263165,170.73170731707316,39.463414634146346,5.341463414634146
18,1,181,BENIMAMET,39,20,19,88.42424242424242,207.84615384615387,17.41025641025641,3.7692307692307687
13,4,134,LA VEGA BAIXA,38,25,13,101.25714285714285,190.57894736842104,21.921052631578938,12.68421052631579
19,6,196,EL PERELLONET,34,33,1,131.10714285714286,224.79411764705884,21.76470588235295,1.4705882352941178
15,3,153,SANT LLORENS,31,22,9,86.03448275862068,174.80645161290323,115.22580645161288,6.967741935483871
4,4,044,SANT PAU,30,24,6,119.57692307692307,189.93333333333334,94.96666666666664,7.8999999999999995
6,1,061,EXPOSICIO,27,18,9,112.08333333333334,93.48148148148148,102.18518518518516,7.814814814814815
7,3,073,TRES FORQUES,27,11,16,63.23076923076923,227.07407407407408,45.29629629629629,3.555555555555555
7,2,072,SOTERNES,26,19,7,101.1304347826087,201.92307692307693,14.192307692307693,12.115384615384617
8,4,084,SAFRANAR,25,20,5,164.625,246.52,13.64,9.72
9,5,095,CAMI REAL,25,11,14,61.95454545454545,290.08,35.08000000000001,15.040000000000004
16,2,162,CIUTAT FALLERA,18,11,7,86.88235294117646,215.55555555555554,8.222222222222221,7.722222222222222
19,3,193,PINEDO,17,16,1,1778.75,225.88235294117646,19.470588235294116,10.764705882352942
6,3,063,JAUME ROIG,16,12,4,120.07142857142857,176.875,17.0625,7.375
9,3,093,LA CREU COBERTA,16,5,11,59.86666666666666,216.5625,12.875,2.8125
6,4,064,CIUTAT UNIVERSITARIA,15,10,5,89.21428571428571,134.2,4.2,28.4
10,4,104,LA FONTETA S.LLUIS,12,9,3,89.0909090909091,233.66666666666666,31.25,14.833333333333334
18,2,182,BENIFERRI,12,8,4,100.33333333333333,224.91666666666666,55.91666666666667,5.416666666666666
8,5,085,FAVARA,12,5,7,77.25,226.58333333333331,57.5,5.5
4,3,043,EL CALVARI,10,6,4,72,187.9,33.6,1.6
8,3,083,VARA DE QUART,10,6,4,99.44444444444444,148.5,28.5,9.1
7,4,074,LA FONTSANTA,9,3,6,57.55555555555556,172.11111111111111,60.66666666666667,2.888888888888889
14,2,142,CAMI DE VERA,7,4,3,111.33333333333333,200.71428571428572,17.571428571428573,2.8571428571428568
8,2,082,SANT ISIDRE,7,2,5,63,240.85714285714286,35.71428571428571,12.714285714285714
7,5,075,LA LLUM,6,4,2,72.83333333333333,106.33333333333334,67.33333333333334,1.6666666666666667
